,Unnamed: 0,genre,Name,birth country,death country,birth decade,death decade,nationality
0,0,Playwright,George Francis Abbott,,,1880,1990,
1,1,Playwright,Kjeld Abell,Denmark,Denmark,1900,1960,
2,2,Playwright,Paul Ableman,,,,,
3,3,Playwright,Marcel Achard,,,1890,1970,
4,4,Playwright,Herbert Achternbusch,Germany,,1930,,
5,5,Playwright,J. R. Ackerley,,,1890,1960,
6,6,Playwright,Rodney Ackland,,,,,
7,7,Playwright,Arthur Adamov,Russia,France,1900,1970,
8,8,Playwright,Arthur Henry Adams,New Zealand,Australia,1870,1930,
9,9,Playwright,Francis Adams (writer),Malta,,1860,1890,
10,10,Playwright,Marion Adams-Acton,,,1840,1920,
11,11,Playwright,George Ade,India,India,1860,1940,
12,12,Playwright,Mirza Adeeb,India,Pakistan,1910,1990,India
13,13,Playwright,David Adjmi,,,1970,,
14,14,Playwright,Max Afford,,,,,
15,15,Playwright,Aleksandr Nikolayevich Afinogenov,Russia,,1900,1940,
16,16,Playwright,Agathon,,,,,
17,17,Playwright,Bola Agbaje,,,,,
18,18,Playwright,George Aiken (playwright),,Jersey,1830,1870,
19,19,Playwright,Ayad Akhtar,,,1970,,
20,20,Playwright,Zoë Akins,,,1880,1950,
21,21,Playwright,Vasily Pavlovich Aksyonov,,Russia,1930,2000,Russia
22,22,Playwright,Juan Ruiz de Alarcón,Mexico,Spain,1580,1630,
23,23,Playwright,Edward Albee,,,1920,2010,
24,24,Playwright,Rafael Alberti,Spain,Spain,1900,1990,
25,25,Playwright,James Albery,,,,,
26,26,Playwright,Vittorio Alfieri,,,1740,1800,
27,27,Playwright,William Alfred,,,,,
28,28,Playwright,Jay Presson Allen,,,1920,2000,
29,29,Playwright,Jim Allen (playwright),,,1920,1990,
30,30,Playwright,Woody Allen,United States,,1930,,
31,31,Playwright,Almeida Garrett,Portugal,Portugal,1790,1850,
32,32,Playwright,Robert Altman,,,1920,2000,
33,33,Playwright,Alejandro Rodriguez Alvarez,Spain,Spain,1900,1960,
34,34,Playwright,Serafin and Joaquin Alvarez Quintero,,,,,
35,35,Playwright,Mark Ambient,,,,,
